campaign_id,campaign_name,campaign_status,analytics_bounce_count,analytics_blocked_count,leads_pulled_count
1990520,Trading- Data- US,COMPLETED,3,3,3
1983013,Kushal's ETHR Post set 2,COMPLETED,3,3,3
1958922,Flights Booking Campaign,COMPLETED,3,3,4
1893743,Ignyte Campaign India - Sales,COMPLETED,3,3,4
1620587,Website Visitors Common Room - Plum (2nd Cycle),COMPLETED,2,4,4
1617214,UKG SI- Anupama,COMPLETED,3,3,3
1520359,HiBob-UK/Europe,COMPLETED,3,3,3
3203488,P3_ABM_CHRO&CPO_EMAIL_20APR - FINAL,ACTIVE,4,1,4
3015294,"FMCG and CPG, Channel Incentives - 2026",PAUSED,3,2,3
2887139,Series C Funding - Existing Clients - India batch 3,COMPLETED,3,2,4
2857052,Series C Funding - Existing Clients - ROW,COMPLETED,2,3,4
2815044,Test 3 2026 ,COMPLETED,1,4,4
2815034,Test 1 2026,COMPLETED,1,4,4
2745843,Visiting Cards Manoj,COMPLETED,3,2,3
2631304,Job change Nov 2025 - GCC,COMPLETED,3,2,5
2626097,500 to 5k below $500 data Batch 9,COMPLETED,2,3,3
2573665,5k+ below $500 data Batch 5,COMPLETED,2,3,3
2573561,500 below and below $500 data - Batch 3,COMPLETED,1,4,4
2516711,HARJEET - HR,COMPLETED,2,3,3
2505561,Ritu - HR,COMPLETED,1,4,4
2502875,Campaign data CAM - GCC - Sales and marketing - 2nd cycle,COMPLETED,3,2,4
2502017,Ignyte Website Companies Data - India - September - 2nd cycle,COMPLETED,4,1,5
2424489,Conglomerates India 2025 - 2,COMPLETED,4,1,4
2414942,Awardco - HR,COMPLETED,3,2,2
2414258,Ankit bajaj campaign - Diwali - Remaining batch,COMPLETED,2,3,3
2409035,Ankit bajaj campaign - Diwali - 3,COMPLETED,3,2,3
2401754,"Chris, Kassandra-hey reach data founders and hrs",COMPLETED,3,2,3
2354740,2023 Repository - GCC - FMCG,COMPLETED,3,2,3
2351888,Campaign data CAM - GCC - Sales and marketing - 2nd cycle,COMPLETED,3,2,4
2331240,Workhuman_product_signals,COMPLETED,5,0,5
2300599,"Banks data, himyan - Naveen",COMPLETED,3,2,2
2270596,Gaming and Gambling companies data- 2024 - US 2,COMPLETED,3,2,3
2266487,Content for SAP content written by our team,COMPLETED,3,2,2
2261617,internal test,COMPLETED,2,3,3
2195042,All regions pipeline - Content 2,COMPLETED,1,4,5
1893711,Ignyte Campaign India - HR,COMPLETED,1,4,4
1827190,"BFSI Loyal life data Africa - CX, Loyalty and rewards",COMPLETED,2,3,3
1727575,US SMB Abhishek,COMPLETED,0,5,5
1520211,HiBob- americas,COMPLETED,3,2,2
1456117,ET Nextech Human Capital Summit 2025,COMPLETED,2,3,3
3215843,P2_HUNTING_CS&CX_US_EMAIL_AUSTIN,ACTIVE,3,1,3
3209239,P1_ABM_E-Commerce_Africa_Mary_Roshaan_21Apr26,PAUSED,4,0,4
3222407,P0_EU/UK_INBOUND_MARY_SANJEEDA_23APR,ACTIVE,2,2,2
3209225,P1_ABM_FMCG / DISTRIBUTION_Africa_Mary_Roshaan_21Apr26,PAUSED,2,2,4
3185854,P2_Prtnr_Remote_Customer_US_Yash_Amy_16Apr26,ACTIVE,3,1,3
3156872,Total Rewards'26 San Antonio,COMPLETED,2,2,2
3152780,SAP - Customers - US - Amy - Partnership,COMPLETED,2,2,2
3139058,CAM_Global_Clay_HG>20%_ES>200_ABM0.1,COMPLETED,2,2,2
3015392,Manufacturing Channel Incentives - BATCH 1,PAUSED,3,1,4
2998176,Already using a Solution- HR profiles -AFRICA - BATCH 3,PAUSED,3,1,3
2888672,Series C Funding - Partners - Americas,PAUSED,2,2,2
2852312,GCC CAM,PAUSED,2,2,3
2838985,GCC - New Year Campaign- Fresh Start ,PAUSED,1,3,3
